,adversary,target,technique,publish date,motive,interesting_insight
754,possibly Iran,Saudi Arabian communications and defense organizations,hacked,May 2016,Unknown,Unknown
755,Chinese government hackers,U.S. Steel,stealing proprietary information,April 2016,benefit of Chinese steel producers,The stolen information was about steel production techniques
756,a Russian cyber espionage group,The German Christian Democratic Union,credential phishing attack,April 2016,,
757,Unknown,The Philippine Commission on Elections’ (COMELEC) database,breach,April 2016,Unknown,"Exposed the personal information of all 55 million registered Filipino voters, including fingerprint data, passport numbers and expiry dates, and intentions to run for office."
758,Unknown,research centers and government agencies (including telecommunication service providers in South and Southeast Asia,Unknown,April 2016,Unknown,The hack group has been active since 2009
759,North Korean hackers,database of a South Korean shipbuilder,stole warship blueprints,April 2016,Unknown,Unknown
760,Unknown,MedStar Health-operated hospitals in Maryland and Washington,Ransomware attack,March 2016,Unknown,The attack crippled the hospitals
761,North Korean hackers,smartphones of a dozen South Korean officials,broke into,March 2016,"accessing phone conversations, text messages, and other sensitive information",
762,Unknown,21st Century Oncology,Unknown,March 2016,Stealing personal information of patients,2.2 million patients’ personal information may have been stolen
763,Unknown,Finland’s foreign ministry,Unknown,March 2016,Unknown,The breach in their computer network lasted for four years
764,Russian tax fraud operation,Internal Revenue Service (IRS),breach of systems,May 2015,tax fraud,"over 700,000 American taxpayers were compromised"
765,Unknown,U.S. Department of Justice’s database,Unknown,February 2016,Unknown,"The hackers stole and released the names, phone numbers, and email addresses of 30,000 DHS and FBI employees."
766,Unknown,The Society for Worldwide Interbank Financial Telecommunication (SWIFT) customers,Sophisticated hacking,February 2016,Stealing funds,A fifth of the attacks had resulted in stolen funds
767,Unknown,FACC,Cyberattack,January 2016,Financial gain,"The attackers ignored FACC’s intellectual property or proprietary data, and business operations were not affected."
768,United States and Britain,Israel’s surveillance drones,Unknown,January 2016,Unknown,Unknown
769,Unknown,Chief of Sri Lanka’s Financial Crimes Investigation Division's private email account,Hacking,January 2016,Attempt at embarrassment motivated by an ongoing crackdown by the department,The target was a high-ranking official in a financial crimes investigation department
770,Azerbaijani hackers,Armenian diplomatic missions in 40 countries,websites defaced,January 2016,Unknown,Unknown
771,right-wing extremists,The Czech Republic’s Prime Minister's twitter and personal email account,hacking,January 2016,Unknown,Unknown
772,Russian hackers,regional power distribution companies in Western Ukraine,"Malware, denial of service attack",December 2015,"To probe for network vulnerabilities, establish command and control, and wipe SCADA servers to delay restoration","Approximately 225,000 Ukrainians were affected, but service was restored after 3-6 hours"
773,Unnamed sources attributing to China,The Australian Bureau of Meteorology,Unknown,December 2015,Unknown,The attack happened the previous year
774,North Korea’s General Reconnaissance Bureau,"National Assembly, the Ministry of Unification, and the Blue House",hacks,October 2015,Unknown,The ROK National Intelligence Service attributed the hacks
775,A teenage hacker,Verizon and AOL customer service,tricked,October 2015,to gain access,
776,Iran’s Revolutionary Guard,email and social media accounts of a number of Obama administration officials,hacking,November 2015,believed to be related to the arrest of an Iranian-American businessman in Tehran,
777,Spies,"German, French, and Japanese submarine builders",Hacking,November 2015,To gain information on the contract to build Australia’s new submarine fleet,The targets were bidding for a contract to build Australia’s new submarine fleet
778,a Chinese hacking group,"government civilian and military agencies in the United States and other industries, including corporations conducting solar cell research",cyberattacks,November 2015,Unknown,The attack was identified by Dutch security firm Fox-IT
779,Unknown,Dutch Safety Board and other parties involved in investigating the crash of flight MH17,Unknown,September 2015,Unknown,The target was involved in a high-profile investigation
780,Mallu Cyber Team,Multiple Pakistani government websites,,September 2015,,
781,The Dukes,"foreign governments and think tanks in Europe, Central Asia, and the United States",Unknown,September 2015,Unknown,The group has been active for over seven years
782,Unknown,Members of the Iranian diaspora and at least one Western activist,Phishing campaign,August 2015,Seeking two-factor authentication credentials,Unknown
783,Unknown,The website of the Permanent Court of Arbitration in The Hague,Malware,July 2015,Connected to hearings regarding China’s claims to territory in the South China Sea,The breach was traced back to an IP address in China
784,Russia,Joint Chiefs of Staff unclassified email servers,spear phishing attack,July 2015,Unknown,"The system was shut down for 11 days affecting the work of roughly 4,000 military and civilian personnel. China has not been ruled out as the perpetrator."
785,the same group suspected of the Office of Personnel Management hack,United Airlines,hacking computer systems,May or early June 2015,compromising manifest data that detailed the movements of millions of Americans,"The report, citing “several people familiar with the probe,” stated that the group behind this attack is the same group suspected of the Office of Personnel Management hack discovered in June."
786,Unknown,Hacking Team,Unknown,July 2015,Unethical sale of surveillance technology worldwide,"Confidential documents leaked by the hackers appeared to show Hacking Team’s material support for authoritarian governments such as those in Sudan, Ethiopia, Morocco, and the United Arab Emirates."
787,Anonymous,"Canadian Security Intelligence Service (CSIS) and the general Canadian government website, Canada.ca",DDOS attacks,June 2015,"Canada’s recently passed Anti-terrorism Act, 2015","The attacks also reportedly affected email, Internet access and IT services in the government"
788,Unknown,Japan Pension Service (JPS),Unknown,June 2015,Unknown,Resulted in the exfiltration of personal data belonging to 1.25 million people
789,Iranian cyber espionage campaign,over 500 organizations,cyber espionage,June 2015,"espionage on diplomacy, defense and security, journalism & human rights, and other fields",Most of the targeted organizations were in the Middle East
790,Unknown,The Office of Personnel Management,Hacking,June 2015,Unknown,"The Office of Personnel Management was hacked twice in the last year resulting in the loss of 25.6 million records, 19.7 million of which involved background investigation records for cleared U.S. government employees."
791,Kremlin,lower house of parliament on the Bundestag network,malware,June 2015,"exfiltrated data from over 20,000 accounts",the malware involved closely resembles that used in a 2014 attack on a German data network
792,OceanLotus,"marine agencies, research institutions and shipping companies",espionage program,June 2015,Unknown,The program has been operating since 2012
793,U.S.,North Korea,Stuxnet-like attacks,June 2015,Unknown,The attacks were not successful
794,Unknown,Pacnet’s business management systems,malicious software,May 2015,Access sensitive data,The attack was on a Hong Kong-based undersea cable company
795,Chinese hackers,United Airlines,exfiltrated,May 2015,Unknown,significant amounts of customer data was stolen
796,Chinese intelligence officers,U.S. and European aerospace firms,infiltrated networks and exfiltrated trade secret information,May 2015,to obtain trade secret information about turbofan engines,The hacking operation lasted over the course of five years
797,Russian hackers,online IRS system,hack,May 2015,$50 million loss,the IRS blames the hack on Russian hackers
798,The Yemen Cyber Army,server belonging to the Saudi Ministry of Foreign Affairs,breached,May 2015,Unknown,"The hackers leaded the alleged login credentials of Saudi Officials, as well as usernames, phone numbers, and email addresses"
799,Russian hackers,an unclassified network within the DOD,Unknown,April 2015,Unknown,Pentagon officials were able to block the hackers’ access within 24 hours
800,ISIS,French public television network TV5 Monde,defaced TV5 Monde’s website and social media accounts with pro-ISIS imagery,April 2015,pro-ISIS propaganda,The hackers took off the air 11 of the networks’ channels
801,Unknown,White House networks and State Department's network,Unknown,April 2015,Access to sensitive information such as real-time non-public details of the president's schedule,The State Department's network has had continued trouble in ousting attackers
802,An Iranian hacking group,"defense, IT, government, and academic targets in Europe and the Middle East",spear-phishing campaign,March 2015,,
803,Chinese hackers,U.S. hosting site GitHub,a wide combination of attack vectors,March 2015,the attack targeted pages for two GitHub users – GreatFire and the New York Times’ Chinese mirror site – both of which circumvent China’s firewall,used new techniques to involve unsuspecting web users in the flood of traffic to the site
804,Unknown,"Anthem, a U.S. health insurance company",Hacking an unencrypted database,February 2015,Theft of 80 million customers’ personally identifiable information,This may have been part of a larger campaign that included the OPM hack
805,French government,Canada’s Communication Security Establishment,Malware (Babar and EvilBunny),February 2015,Espionage,"Babar’s primary function is to exfiltrate documents, but it can also log keystrokes, monitor a user’s web history, intercept and record communications made via Skype and messenger programs."
806,Unknown,German steel mill,Disruption of control systems,January 2015,Unknown,"This attack caused physical destruction, making the steel mill the second recorded victim of such an attack."
807,Iranian hackers,a major Las Vegas casino,Unknown,December 2014,retaliation for its owner’s support for Israel,Unknown
808,An Iranian cyber campaign,government agencies and critical infrastructure companies,Unknown,December 2014,Unknown,"The attack was widespread, targeting multiple regions including the United States, Canada, Europe, the Middle East, and Asia."
809,North Korea,Sony Pictures Entertainment,malware,November 2014,Unknown,The malware deleted data and posted online employees’ personal information and unreleased films
810,North Korean hackers,a British production company,Unknown,November 2014,planning to release a television series revolving around the imprisonment of a British nuclear scientist in the DPRK,The attack caused the cancellation of the series
811,foreign intelligence services,human rights organizations,readily available crime ware as well as specially designed programs,November 2014,not specified,intrusion lasting for years
812,Unknown,U.S. Postal Service servers,Hacking,October 2014,Unknown,"Exposed employees' names, addresses, and Social Security numbers"
813,Unknown,The National Oceanic and Atmospheric Administration (NOAA) at the U.S. Department of Commerce,Unknown,October 2014,Unknown,The hack skewed the accuracy of some National Weather Service forecasts
814,Unknown,Department of State's unclassified networks,Unknown,October 2014,Unknown,The Department of State had to shut down its entire unclassified email system to repair possible damage
815,Unknown,White House computer network,Suspicious cyber activity,November 2014,Unknown,No classified networks had been breached at the White House
816,Unknown,Chinese users' iCloud accounts,Redirecting to a false iCloud login page,October 2014,"Monitoring activities and stealing usernames, passwords, files, and contacts","The attack puts iCloud usernames, passwords, files, and contacts at risk"
817,Unknown,Dairy Queen outlets,Exploited a third party system,October 2014,Customer credit card data,Ten percent of Dairy Queen outlets are hacked
818,Russia,"NATO, the EU and the Ukrainian government",exploits a zero-day vulnerability in Windows software,October 2014,cyber espionage,A five-year cyber espionage campaign
819,Unknown,Australian mining and natural resources companies and their associated legal and financial advisors,Unknown,October 2014,During sensitive business negotiations,Unknown
820,Unknown,industrial control systems of the pharmaceutical sector,malware,September 2014,intellectual property theft,Researchers stated the purpose of the attack was to achieve intellectual property theft.
821,likely of Chinese origin,Hong Kong protestors,A false Occupy Central smartphone app with audio recording capabilities,September 2014,"accesses users' locations, call and message logs, and browser histories",
822,Unknown,"300 government and company websites in Germany, Austria and Switzerland",Using fraudulently obtained certificate,September 2014,Unknown,The operation was multiyear
823,Unknown,Home Depot,Server breach,September 2014,Unknown,Affected 56 million debit cards in the U.S. and Canada
824,suspected Chinese hackers,Community Health Systems,infiltrated its network and stole personal information,August 2014,steal personal information from 4.5 million patients,
825,Unknown,The contractor responsible for security clearances at DHS,Network hacking,August 2014,Compromise employee personal information,This was one of the first steps in the 2015 OPM hack
826,Hackers in Eastern Europe,"energy sectors in the U.S., Spain, France, Italy",breached,July 2014,Unknown,Unknown
827,Unknown,"Germany, Turkey, and Poland",Unknown,Unknown,Cyberespionage,Unknown
828,Unknown,U.S. Office of Personnel Management networks,Unknown,July 2014,Unknown,The networks contain information on thousands of applicants for top secret clearances
829,PLA,"National Research Council, Canada",cyber espionage,July 2014,Unknown,Canada’s Foreign Minister asked his Chinese counterpart about the attack
830,Unit 61398,U.S. corporations in the satellite industry,Unknown,June 2014,Unknown,CrowdStrike reported the attack
831,Alleged Chinese hackers,Alcoa,spear phishing,May 2014,to access the network of Alcoa,"The hackers stole 2,907 emails and 863 attachments"
832,People’s Liberation Army Unit 61398,"six American companies in the power, metals, and solar production industries",stole trade secret information,May 2014,steal trade secret information,The U.S. Department of Justice indicted them
833,An Iranian hacking group,the U.S. industrial base and also targets inside Iran,espionage attacks,April 2014,espionage,
834,Unknown,Indian Army and DRDO computers,Spyware,March 2014,Unknown,The spyware could read the files of computers not even connected to internet
835,Chinese hackers,OPM contractor responsible for U.S. security clearance background investigations,breached,March 2014,Unknown,Unknown
836,Cybercriminals,Target,Unknown,March 2014,Unknown,"40 million credit card numbers were stolen, with an additional 70 million accounts compromised."
837,Unknown,28 embassies in Tehran,emails about the Syrian conflict that contained a new data-mining malware,January 2014,Unknown,Unknown
838,Unknown,Finland's diplomatic communications,Unknown,November 2013,Unknown,Finland's Foreign Minister reported the breach
839,Vietnamese cyber criminals,"personal records, including Social Security numbers, credit card data, and bank account information",Unknown,October 2013,Unknown,obtained as many as 200 million personal records
840,NSA,German Chancellor Merkel’s mobile phone,Unknown,October 2013,Unknown,This was part of a larger series of leaks on NSA activities
841,Iran,U.S. Navy's unclassified networks,Hacking,September 2013,Unknown,Unknown
842,Chinese hackers,"U.S. Defense Industries, companies in key industries (telecommunications, computer hardware, government contractors, aerospace), U.S. civil aviation sector",malware ‘Sykipot’,September 2013,Unknown,In mid-2013 they targeted the U.S. civil aviation sector
843,Chinese hackers,"three U.S. organizations, including a large American oil and gas corporation",Unknown,September 2013,Unknown,Unknown
844,North Korea,"South Korean targets, including think tanks, the South Korean Ministry of Defense, and Koreans defense industry firms",hacks,September 2013,,
845,The Syrian Electronic Army,major Western social media and media sites,hijacks and reroutes,August 2013,Unknown,The sites were rerouted to a malicious hosting site in Russia
846,Unknown,China’s .cn country code top level domain,DDOS,August 2013,Unknown,The attack was massive enough to take down the domain for several hours
847,PLA hackers,U.S. Transportation Command,infiltrated the computer networks,June 2013,stole sensitive military information,
848,five Ukrainian and Russian hackers,credit card numbers,Unknown,June 2013,financial gain,caused hundreds of millions in losses
849,NSA,Chinese targets,cyber espionage,June 2013,espionage,"The information was revealed by Edward Snowden, a former systems administrator at the NSA"
850,An alleged Chinese hacker,the Australian Security Intelligence Organization’s new $631 million building,steals the blueprints,May 2013,Unknown,Unknown
851,Syrian Electronic Army,water supply to the city of Haifa,Unknown,May 2013,Unknown,The attack was reported by Israeli officials and was unsuccessful
852,Iran,U.S. electrical grid,probing,May 2013,Unknown,The U.S. electrical grid is constantly being probed by multiple actors
853,India,"Pakistani mining, automotive, legal, engineering, food service, military, and banks",zero-day exploit,May 2013,,
854,The Syrian Electronic Army,Saudi Arabian Ministry of Defense email system,breached and leaked,May 2013,Unknown,Several confidential emails were leaked
855,unknown hackers,major automotive parts suppliers in North American and Europe,Unknown,May 2013,Unknown,Unknown
856,Anonymous’ Saudi branch,"government web sites, including the Ministry of Foreign Affairs, Ministry of Finance, and the General Intelligence Presidency",DDos attack,May 2013,Unknown,The operation was named OpSaudi
857,gang of eight hackers,banks in the UAE and Oman,eliminated the withdrawal limits on prepaid debit cards,May 2013,to extract $45 million,The attacks permitted the hackers to withdraw massive amounts
858,Unknown,website of the Iranian Basij military branch (basij.ir),DDoS attack,May 2013,Unknown,Unknown
859,Chinese hackers,"U.S. Department of Labor and at least nine other agencies, including the Agency for International Development and the Army Corps of Engineers’ National Inventory of Dams",compromise,May 2013,,
860,Unknown,Android mobile devices,Malware,April 2013,Unknown,The attack was primarily targeted at Russia and Russian speaking countries
861,The Syrian Electronic Army,major Western media organizations,hacked,March 2013,propaganda campaign,a pro-Assad hacktivist group
862,Chinese hackers,"civilian and military maritime operations within the South China Sea, U.S. companies involved in maritime satellite systems, aerospace companies and defense contractors",Unknown,March 2013,Unknown,The attack started in 2012
863,Unknown,Indian Defence Research Organization,Unknown,March 2013,Unknown,"Thousands of documents were uploaded to a server with an IP address in Guangdong, China"
864,United States and South Korea,North Korea,series of attacks,March 2013,Unknown,The attacks severely restricted Internet access in North Korea
865,Unknown group from North Korea,South Korean television networks and banks,Malware designed to evade popular South Korean anti-virus software,March 2013,Unknown,The malware was specifically designed to evade popular South Korean anti-virus software
866,Unknown cyber criminals,23 gas pipeline companies,Unknown,Between December 2011 and June 2012,Steal information that could be used for sabotage purposes,Forensic data suggests the probes originated in China
867,Chinese hackers,EADS and German steelmaker ThyssenKrupp,major attacks,February 2013,Unknown,Der Spiegel reveals the attack
868,Presumed Chinese hackers,"The New York Times, Wall Street Journal, Washington Post, and Bloomberg News",persistent cyberattacks,January 2013,Unknown,Unknown
869,Unknown,Japanese Ministry of Foreign Affairs (MOFA),Unknown,January 2013,Unknown,"Lost at least twenty documents, including highly classified documents"
870,Izz ad-Din al-Qassam,US Bank websites,distributed denial-of-service attacks,January 2013,Operation Ababil phase two,
871,Chinese hackers,"U.S. weapons systems designs including for the PAC-3, THAAD, Aegis, F/A-18 fighter jet, V-22 Osprey, Black Hawk, and Littoral Combat Ship",Unknown,January 2013,Unknown,A Defense Science Board report found the hacking activity
872,Al-Qaida,Al-Qaida websites,Unknown,December 2012,Unknown,The websites were taken offline for two weeks
873,Unknown,Two power plants in the U.S.,unprotected USB drives,December 2012,Unknown,Unknown
874,Unknown,"Embassies, research firms, military installations, energy providers, and critical infrastructure in Eastern Europe, Russia, and Central Asia",Virus,October 2012,Unknown,The attack was discovered by a Russian cybersecurity firm
875,Izz ad-Din al-Qassam,"Bank of America, New York Stock Exchange, Chase Bank, Capital One, SunTrust, and Regions Bank",sustained denial-of-service attacks,September 2012,Unknown,Operation Ababil was linked to Iran
876,Chinese hackers,Telvent Canada,infiltration,September 2012,steal data related to SCADA systems,The attack affected systems throughout North America
877,Cutting Sword of Justice,"Aramco, RasGas",Shamoon virus,August 2012,Unknown,"The attack deleted data on 30,000 computers and infected control systems without causing damage"
878,state actors,Indian government networks,email hacking,July 2012,Unknown,"Over 10,000 email addresses of top Indian government officials were hacked, including officials in the Prime Minister’s Office, Defense, External Affairs, Home, and Finance ministries, as well as intelligence agencies."
879,Unknown,American infrastructure companies,Unknown,July 2012,Unknown,There had been a 17-fold increase in cyber incident at American infrastructure companies between 2009 and 2011
880,Unknown,Indian Eastern Naval Command headquarters,Virus via infected USB drives,July 2012,Collecting data from sensitive computer systems,The data was sent to Chinese IP addresses
881,Unknown,"Critical infrastructure engineering firms, government agencies, financial houses, and academia",Trojan nicknamed 'Mahdi',July 2012,Data gathering,The virus contains Persian language strings and the targets were predominantly in Israel and Iran
882,Unknown,A London-listed company,State cyberattacks,June 2012,Unknown,The company lost an estimated £800m ($1.2 billion) as a result of the attack
883,Unknown,high-value personal and corporate accounts,automated versions of SpyEye and Zeus Trojans,June 2012,fraud campaign,bypassed two-factor authentication
884,Unknown,U.S. aerospace industry experts attending the 2013 IEEE Aerospace Conference,Phishing campaign,June 2012,Unknown,Unknown
885,PLA Unit 61398,Digital Bond,spear phishing attack,June 2012,,
886,Unknown hackers from China,23 gas pipeline companies,Unknown,December 2011 to June 2012,Steal information for sabotage purposes,DHS reported the attack
887,Unknown,Users of the proxy tool Simurgh,Keylogger Trojan,May 2012,"To collect user name, keystrokes, and program use","The installer for the proxy tool Simurgh, which anonymizes net use and is popular in countries such as Iran and Syria to circumvent government internet controls, also installs a keylogger Trojan"
888,Unknown,Iranian Oil Ministry,Flame,May 2012,Espionage,"The toolkit was also discovered in other Middle Eastern countries, including Israel, Syria, and Sudan, and other nations around the world."
889,Unknown,classified MOD networks,Unknown,May 2012,Unknown,UK officials told the press that there had been a small number of successful perpetrations
890,Unknown,"Japan's Ministry of Agriculture, Forestry, and Fisheries","Searching Ministry computers for TPP documents, transferring all that were found to a single computer, and then compressing them to make them easier to send",April 2012,Exfiltration of documents on negotiations on the Trans-Pacific Partnership,"More than 3,000 documents were exfiltrated, including 20 classified documents"
891,Unknown,Iran's oil facilities,Malware,April 2012,Unknown,"The malware was found inside the control systems of Kharg Island – Iran’s main oil exporting terminal. Equipment at Kharg Island and at other Iranian oil plants was disconnected from the internet as a precaution. Iran reported that oil production was not affected, but the websites of the Iranian oil ministry and national oil company were forced offline and data about users of the sites was taken as a result of the attack."
892,Unknown,U.S. gas pipelines,spear phishing,March 2012,Unknown,The attack was described as a sophisticated spear phishing campaign emanating from a single source.
893,Unknown,112 government websites of India,Website defacement,December 2011 to February 2012,Unknown,Many of the hacks appeared to originate in Pakistan
894,Iran,BBC Persian Language Service,sophisticated cyber-attack,March 2012,disrupt the BBC Persian Language Service,The attack coincided with efforts to jam two BBC satellite feeds to Iran
895,Unknown,NASA,"APT attacks, stealing user credentials, using China-based IP",March 2012,Gain unauthorized access to NASA systems,Intruders gained full access to key JPL systems and sensitive user accounts
896,Luckycat,"U.S.-based activists and organizations, Indian and Japanese military research, Tibetan activists",cyber campaign,March 2012,Unknown,The campaign was uncovered by Trend Micro
897,Chinese hackers,technologies onboard F-35 Joint Strike Fighters,Unknown,February 2012,Unknown,The stolen information was classified
898,Hackers working on behalf of the Qatar government,former advisor to FIFA President Sepp Blatter,phishing emails,January 2012,espionage operation,
899,Unidentified hackers,president of the United States Soccer Federation Sunil Gulati,unspecified,unspecified,espionage operation,
900,People’s Liberation Army,U.S. Chamber of Commerce computer networks,Unknown,December 2011,Unknown,"The Hackers had access to everything in Commerce’s computers, including member company communications and industry positions on U.S. trade policy."
901,Unknown,10 major Norwegian defense and energy companies,Email phishing scheme,November 2011,Companies were involved in large-scale contract negotiations,"Hackers gained access to confidential documents, industrial data, usernames and passwords"
902,Chinese hackers,two satellites belonging to NASA and USGS,interfered,November 2011,Unknown,Unknown
903,Unknown,Apple computers belonging to European Commission officials,Unknown,November 2011,Unknown,The attack occurred at an Internet Governance Forum (IGF) meeting in Azerbaijan.
904,Unknown,"Networks of 48 companies in the chemical, defense, and other industries",Unknown,October 2011,Looking for intellectual property,"Some of the attacks are attributed to computers in Hebei, China"
905,unknown source,ground control stations for US Air Force UAVs,keylogger malware,September 2011,Unknown,"The US did not lose control of any drone nor does it appear that any data was exfiltrated, but the malware was persistent and took several attempts to remove."
906,Unknown,Australia’s Defense Signals Directorate,Unknown,September 2011,Unknown,"defense networks are attacked more than 30 times a day, with the number of attacks increasing by more than 350 percent by 2009."
907,Unknown attackers,Dutch certificate authority,Issuing fraudulent certificates,September 2011,"To pretend to be a secure website, intercept e-mail, or install malicious software",This was the second hack of a certificate authority in 2011
908,Unknown,Email and documents from 480 members of the Japanese Diet and lawmakers and their staff,Phishing attack implanted a Trojan,August 2011,Unknown,The hijacked machines communicated with a server in China and the attackers included Chinese characters in their code
909,Unknown,Mitsubishi Heavy Industries and twenty other Japanese defense and high tech firms,Email with a malicious attachment,August 2011,Extract classified defense information,The contents of the malicious attachment were the same as a legitimate message sent 10 hours earlier
910,Chinese hackers,"72 entities, including multiple U.S. government networks",cyber-attacks,August 2011,Unknown,Unknown
911,hackers from China,an internet portal in South Korea,penetration,July 2011,"access phone numbers, e-mail addresses, names and other data for 35 million Koreans",
912,Unknown,Servers used by the German Bundespolizei (Federal Police) and the Bundeszollverwaltung (Federal Customs Service),Phishing attack,July 2011,Unknown,"The servers were used to locate serious criminals and terrorism suspects by gathering information from GPS systems in cars and mobile phones. Following the cyberattack, the servers had to be temporarily shut down to prevent further data losses."
913,Unknown,Department of Defense,Hacking,July 2011,Unknown,"24,000 files from the DOD were stolen"
914,Unknown,Citibank,simple manipulation of URLs,June 2011,Unknown,"Credit card data for 360,000 of its customers were exfiltrated"
915,a foreign government,The IMF’s networks,fraudulent emails with malware attachments,June 2011,exfiltration of data,"A large quantity of data, including documents and e-mails, were exfiltrated"
916,Anonymous,PlayStation network,Unknown,May 2011,Unknown,Sony estimated that personal information for more than 80 million users was compromised and that the cost of the breach was over $170 million.
917,Unknown,Oak Ridge National Laboratory,bogus emails with malware attachments,April 2011,Unknown,Two machines were infected and 'a few megabytes' of data were extracted before the Lab was able to cut its internet connection. Oak Ridge was the target of an intrusion in 2007.
918,China,"Gmail accounts of prominent people, including senior U.S. officials",phishing,April 2011,Unknown,Google was the one to report the attack
919,Unknown,"RSA’s SecureID authentication technology, Lockheed Martin’s networks",Phishing,March-April 2011,To obtain data that would compromise RSA’s SecureID authentication technology and to penetrate Lockheed Martin’s networks,The data acquired from RSA was then used in an attempt to penetrate Lockheed Martin’s networks
920,Unknown,Small-to-medium sized U.S. businesses,Compromising online banking credentials,March 2010 - April 2011,Initiate wire transfers to Chinese economic and trade companies,The total attempted fraud amounts to approximately $20 million; the actual victim losses are $11 million
921,Unknown,French government computer networks,Unknown,March 2011,Search for sensitive information on upcoming G-20 meetings,Unknown
922,Unknown,The European Commission and EU’s External Action Service,Espionage,March 2011,Interest in documents related to the G20 summit being held in Paris that year,The attack happened just before a major EU summit
923,possible Chinese involvement,car manufacturer Renault,hack,January 2011,to obtain technologies related to electric vehicles,French intelligence services are investigating
924,China,"Canadian government agencies including Defence Research and Development Canada, Finance Department and Treasury Board",cyberattack,January 2011,Unknown,"The attack forced the Finance Department and Treasury Board, Canada’s main economic agencies, to disconnect from the internet"
925,Unknown,South Africa's Postbank,Unknown,January 2011,Financial gain,Hackers extracted $6.7 million over the New Year's Holiday
926,Unknown,European Union's carbon trading market,Unknown,January 2011,Steal more than $7 million in credits,The attack forced the market to shut down temporarily
927,Pakistani hackers,India’s Central Bureau of Investigation (CBI) website (cbi.nic.in),hacking and data erasure,December 2010,Unknown,"Sensitive CBI data, stored on computer not easily accessible from the Internet, was unaffected"
928,a foreign power,"Foreign Ministry, a defense contractor and other British interests",pretending to come from the White House,December 2010,Unknown,The attacks evaded defenses by pretending to come from the White House
929,Unknown,Australia’s Defence Signals Directorate,Cyberattacks,October 2010,Unknown,There had been 2400 'electronic security incidents' on Defence networks in 2009 and 5551 incidents between January and August 2010
930,Unknown,Five banks in the US and UK,Zeus malware,October 2010,Steal money,"Zeus uses links in emails to steal account information, which the hackers then use to transfer money into bank accounts they control. 100 “mules”, or low end criminals, were arrested for opening bank accounts under false names into which the hackers transferred stolen money."
931,Unknown,"Siemens Industrial Control Systems in Iran, Indonesia, and elsewhere","Stuxnet, a complex piece of malware",October 2010,Speculated to be a government cyber weapon aimed at the Iranian nuclear program,Stuxnet was discovered leading to speculation that it was a government cyber weapon
932,unknown external group,"Public facing networks run by NASDAQ, Directors Desk",compromised,October 2010,Unknown,NASDAQ says it is unsure how far hackers might have penetrated into their network
933,Russian intelligence agent,Microsoft,Infiltration (working as a software tester),July 2010,Espionage,The agent was allegedly named Alexey Karetnikov
934,Unknown,"Government of Canada, Canadian universities, private companies and individual customer networks",Remotely operated attacks,May 2010,Conduct espionage,"These attacks are virtually un-attributable, productive, secure and low-risk"
935,Chinese hackers,U.S. Chamber of Commerce,breached the computer network,May 2010,stole information related to U.S. industries,
936,Chinese telecommunications firm,"37,000 networks including more than 8,000 U.S. networks, 8,500 Chinese networks, 1,100 Australian networks and 230 French networks",Transmission of erroneous routing information,April 2010,Unknown,The incident lasted 20 minutes and caused internet traffic to be misrouted through China
937,Chinese hackers,classified files at the Indian Defence Ministry and Indian embassies around the world,Unknown,April 2010,Unknown,gaining access to Indian missile and armament systems
938,Unknown hackers,Latvian government officials' tax records,Unknown,March 2010,Creating political turmoil,The hackers posted the real incomes of Latvian government officials
939,Unknown,the networks of the legal defense team for Rio Tinto executives,Unknown,March 2010,to gain inside information on the trial defense strategy,Australian authorities said there were more than 200 attempts to hack
940,Unknown,Vietnamese computer users,"Malware, Distributed Denial of Service attacks",March 2010,"Spying, Suppression of political dissent","The malware was not especially sophisticated and was used to spy on users who downloaded Vietnamese keyboard language software. It also launched attacks against blogs containing political dissent, specifically, opposition to bauxite mining efforts in Vietnam."
941,Russia and China,NATO and the EU networks,cyberattacks,March 2010,Unknown,The number of cyberattacks against NATO and the EU networks had increased significantly over the past 12 months
942,Unknown,Intel,Exploiting vulnerabilities in Internet Explorer software,January 2010,Unknown,"Intel experienced a cyberattack at about the same time that Google, Adobe, and others were attacked. However, there was no intellectual property or financial loss."
943,Iranian Cyber Army,Baidu,Users were redirected to a page showing an Iranian political message,January 2010,Political message,"Previously, the “Iranian Cyber Army” had hacked into Twitter in December with a similar message"
944,China,Office of India’s National Security Adviser and other government departments,Unknown,January 2010,Unknown,The Prime Minister’s office later denied that their computers had been hacked. This was not the first attempt to penetrate Indian government computers.
945,China-based hackers,Morgan Stanley,break-in to its network,January 2010,Unknown,The same group also attacked Google Inc.’s computers in December 2009
946,China,Google and more than 30 other US companies,sophisticated attack,January 2010,"collect technology, gain access to activist Gmail accounts and to Google’s Gaea password management system",Google announced that a sophisticated attack had penetrated its networks
947,People’s Liberation Army and the Ministry of Public Security,UK businessmen,Malware through 'gifts' like cameras and memory sticks,January 2010,To gain remote access to users’ computers,The UK’s MI5 Security Service warned about this attack
948,The PLA,Civilian Reserve Air Fleet (CRAF) contractor,infiltration,2010,"stealing documents, flight details, credentials and passwords for encrypted email",
949,Iraqi insurgents,U.S military UAVs,using laptops and $24.99 file sharing software,December 2009,allowing them to see what the UAV had viewed,
950,Unknown,a major U.S. bank,Unknown,December 2009,Unknown,The bank lost tens of millions of dollars
